asset_id,asset_type,name,location,progress,criticality,priority,status
178,Traffic Light,"Kilpauk Traffic Light","Kilpauk",34,25,451,"Under Repair"
179,Drainage,"Anna Nagar Drainage","Anna Nagar",83,10,598,"Maintenance"
180,Road,"Tondiarpet Road","Tondiarpet",49,11,565,"Severely Damaged"
181,Street Light,"Triplicane Street Light","Triplicane",51,23,505,"Maintenance"
182,Street Light,"Medavakkam Street Light","Medavakkam",46,83,94,"Under Repair"
183,Road,"Anna Nagar Road","Anna Nagar",85,80,224,"Operational"
184,Bridge,"Royapettah Bridge","Royapettah",96,22,591,"Operational"
185,Street Light,"Guindy Street Light","Guindy",39,73,147,"Faulty"
186,Bridge,"Kolathur Bridge","Kolathur",54,27,486,"Severely Damaged"
187,Drainage,"Chromepet Drainage","Chromepet",38,51,289,"Under Repair"
188,Road,"Porur Road","Porur",97,11,600,"Under Repair"
189,Traffic Light,"Chromepet Traffic Light","Chromepet",39,71,160,"Under Repair"
190,Bridge,"Besant Nagar Bridge","Besant Nagar",37,33,415,"Operational"
191,Traffic Light,"Tambaram Traffic Light","Tambaram",28,79,73,"Severely Damaged"
192,Pipeline,"Velachery Pipeline","Velachery",25,10,523,"Operational"
193,Street Light,"Anna Nagar Street Light","Anna Nagar",83,29,553,"Severely Damaged"
194,Street Light,"Medavakkam Street Light","Medavakkam",33,24,453,"Maintenance"
195,Pipeline,"Velachery Pipeline","Velachery",4,87,13,"Maintenance"
196,Street Light,"Triplicane Street Light","Triplicane",27,95,18,"Faulty"
197,Street Light,"Porur Street Light","Porur",91,90,178,"Maintenance"
198,Traffic Light,"Kilpauk Traffic Light","Kilpauk",86,23,574,"Operational"
199,Pipeline,"Alwarpet Pipeline","Alwarpet",91,99,120,"Maintenance"
200,Bridge,"Royapettah Bridge","Royapettah",83,88,170,"Severely Damaged"
201,Traffic Light,"Thiruvanmiyur Traffic Light","Thiruvanmiyur",75,74,237,"Faulty"
202,Traffic Light,"Perambur Traffic Light","Perambur",76,100,68,"Severely Damaged"
203,Pipeline,"Velachery Pipeline","Velachery",8,78,33,"Severely Damaged"
204,Street Light,"Alwarpet Street Light","Alwarpet",62,62,284,"Operational"
205,Road,"Alwarpet Road","Alwarpet",18,61,166,"Under Repair"
206,Road,"Thiruvanmiyur Road","Thiruvanmiyur",16,43,280,"Faulty"
207,Pipeline,"Nungambakkam Pipeline","Nungambakkam",15,68,113,"Under Repair"
208,Drainage,"Sholinganallur Drainage","Sholinganallur",68,12,585,"Maintenance"
209,Drainage,"Anna Nagar Drainage","Anna Nagar",26,75,90,"Operational"
210,Traffic Light,"Nungambakkam Traffic Light","Nungambakkam",100,98,151,"Faulty"
211,Bridge,"Washermanpet Bridge","Washermanpet",59,38,437,"Severely Damaged"
212,Drainage,"Guindy Drainage","Guindy",81,12,595,"Under Repair"
213,Road,"Tambaram Road","Tambaram",14,43,271,"Operational"
214,Road,"Adyar Road","Adyar",24,90,21,"Maintenance"
215,Traffic Light,"Ambattur Traffic Light","Ambattur",82,93,136,"Operational"
216,Traffic Light,"Mogappair Traffic Light","Mogappair",6,70,69,"Under Repair"
217,Drainage,"Ambattur Drainage","Ambattur",64,78,179,"Faulty"
218,Street Light,"Mogappair Street Light","Mogappair",55,48,360,"Maintenance"
219,Street Light,"Nungambakkam Street Light","Nungambakkam",11,53,190,"Severely Damaged"
220,Road,"Perungudi Road","Perungudi",85,65,331,"Operational"
221,Street Light,"Anna Nagar Street Light","Anna Nagar",69,93,93,"Operational"
222,Street Light,"Kolathur Street Light","Kolathur",86,19,588,"Faulty"
223,Traffic Light,"Washermanpet Traffic Light","Washermanpet",83,77,241,"Maintenance"
224,Street Light,"Medavakkam Street Light","Medavakkam",69,31,502,"Faulty"
225,Road,"T Nagar Road","T Nagar",48,55,292,"Severely Damaged"
226,Road,"Washermanpet Road","Washermanpet",38,29,438,"Severely Damaged"
227,Road,"Kolathur Road","Kolathur",100,95,172,"Operational"
228,Pipeline,"Royapettah Pipeline","Royapettah",62,45,407,"Faulty"
229,Pipeline,"Pallavaram Pipeline","Pallavaram",93,84,218,"Operational"
230,Drainage,"T Nagar Drainage","T Nagar",86,94,142,"Severely Damaged"
231,Traffic Light,"Medavakkam Traffic Light","Medavakkam",59,85,123,"Operational"
232,Street Light,"Royapettah Street Light","Royapettah",57,51,347,"Severely Damaged"
233,Drainage,"Velachery Drainage","Velachery",8,76,44,"Under Repair"
234,Traffic Light,"Egmore Traffic Light","Egmore",53,25,498,"Severely Damaged"
235,Bridge,"Egmore Bridge","Egmore",96,94,167,"Severely Damaged"
236,Traffic Light,"Mylapore Traffic Light","Mylapore",56,22,531,"Maintenance"
237,Bridge,"Thiruvanmiyur Bridge","Thiruvanmiyur",34,37,377,"Under Repair"
238,Traffic Light,"Royapettah Traffic Light","Royapettah",61,58,306,"Faulty"
239,Traffic Light,"Alwarpet Traffic Light","Alwarpet",39,22,478,"Under Repair"
240,Road,"Mogappair Road","Mogappair",41,93,31,"Under Repair"
241,Traffic Light,"Medavakkam Traffic Light","Medavakkam",15,19,439,"Faulty"
242,Drainage,"Adyar Drainage","Adyar",52,45,375,"Severely Damaged"
243,Traffic Light,"Tambaram Traffic Light","Tambaram",52,23,513,"Under Repair"
244,Traffic Light,"Kilpauk Traffic Light","Kilpauk",82,31,541,"Faulty"
245,Traffic Light,"Tambaram Traffic Light","Tambaram",94,41,511,"Severely Damaged"
246,Bridge,"Nungambakkam Bridge","Nungambakkam",96,47,473,"Operational"
247,Road,"Adyar Road","Adyar",42,82,89,"Severely Damaged"
248,Road,"Egmore Road","Egmore",70,56,351,"Severely Damaged"
249,Traffic Light,"Porur Traffic Light","Porur",100,99,148,"Operational"
250,Traffic Light,"Nungambakkam Traffic Light","Nungambakkam",51,77,152,"Severely Damaged"
251,Traffic Light,"Besant Nagar Traffic Light","Besant Nagar",3,89,6,"Severely Damaged"
252,Drainage,"Thiruvanmiyur Drainage","Thiruvanmiyur",54,36,435,"Operational"
253,Bridge,"Velachery Bridge","Velachery",86,99,107,"Faulty"
254,Traffic Light,"Porur Traffic Light","Porur",54,85,109,"Operational"
255,Traffic Light,"Alwarpet Traffic Light","Alwarpet",6,75,45,"Maintenance"
256,Drainage,"Velachery Drainage","Velachery",17,62,155,"Faulty"
257,Road,"Washermanpet Road","Washermanpet",45,23,488,"Maintenance"
258,Street Light,"Besant Nagar Street Light","Besant Nagar",24,27,417,"Severely Damaged"
259,Pipeline,"Kodambakkam Pipeline","Kodambakkam",50,32,449,"Faulty"
260,Drainage,"Thiruvanmiyur Drainage","Thiruvanmiyur",31,50,272,"Maintenance"
261,Road,"Egmore Road","Egmore",0,40,249,"Faulty"
262,Drainage,"Pallavaram Drainage","Pallavaram",60,91,83,"Maintenance"
263,Road,"Royapettah Road","Royapettah",65,29,506,"Maintenance"
264,Bridge,"Chromepet Bridge","Chromepet",8,66,102,"Operational"
265,Traffic Light,"Pallavaram Traffic Light","Pallavaram",26,55,221,"Maintenance"
266,Drainage,"Perambur Drainage","Perambur",83,34,528,"Severely Damaged"
267,Road,"Perungudi Road","Perungudi",23,30,395,"Operational"
268,Traffic Light,"Adyar Traffic Light","Adyar",42,41,372,"Operational"
269,Drainage,"Adyar Drainage","Adyar",52,24,501,"Under Repair"
270,Bridge,"Porur Bridge","Porur",35,18,494,"Maintenance"
271,Road,"Mylapore Road","Mylapore",7,91,5,"Maintenance"
272,Traffic Light,"Tondiarpet Traffic Light","Tondiarpet",65,56,333,"Faulty"
273,Pipeline,"Kodambakkam Pipeline","Kodambakkam",59,80,156,"Severely Damaged"
274,Pipeline,"Velachery Pipeline","Velachery",61,50,365,"Maintenance"
275,Drainage,"Avadi Drainage","Avadi",76,89,146,"Severely Damaged"
276,Drainage,"Anna Nagar Drainage","Anna Nagar",63,28,508,"Maintenance"
277,Bridge,"Porur Bridge","Porur",55,83,126,"Severely Damaged"
278,Road,"Velachery Road","Velachery",8,35,309,"Severely Damaged"
279,Street Light,"Washermanpet Street Light","Washermanpet",73,71,254,"Maintenance"
280,Street Light,"Avadi Street Light","Avadi",69,35,476,"Under Repair"
281,Road,"Triplicane Road","Triplicane",75,20,571,"Under Repair"
282,Drainage,"Sholinganallur Drainage","Sholinganallur",32,53,257,"Under Repair"
283,Pipeline,"Thiruvanmiyur Pipeline","Thiruvanmiyur",14,92,11,"Maintenance"
284,Bridge,"Saidapet Bridge","Saidapet",88,92,162,"Faulty"
285,Pipeline,"Nungambakkam Pipeline","Nungambakkam",62,31,481,"Maintenance"
286,Street Light,"Washermanpet Street Light","Washermanpet",22,57,195,"Under Repair"
287,Pipeline,"Perungudi Pipeline","Perungudi",90,85,204,"Maintenance"
288,Traffic Light,"Medavakkam Traffic Light","Medavakkam",33,58,222,"Operational"
289,Street Light,"Perungudi Street Light","Perungudi",76,98,82,"Faulty"
290,Road,"Perambur Road","Perambur",4,56,161,"Severely Damaged"
291,Bridge,"Tondiarpet Bridge","Tondiarpet",100,99,149,"Operational"
292,Traffic Light,"T Nagar Traffic Light","T Nagar",40,64,199,"Maintenance"
293,Pipeline,"Washermanpet Pipeline","Washermanpet",90,31,557,"Maintenance"
294,Street Light,"Perambur Street Light","Perambur",99,79,274,"Operational"
295,Traffic Light,"Tambaram Traffic Light","Tambaram",47,21,509,"Faulty"
296,Traffic Light,"Kilpauk Traffic Light","Kilpauk",2,90,3,"Severely Damaged"
297,Pipeline,"Pallavaram Pipeline","Pallavaram",19,48,253,"Under Repair"
298,Road,"Avadi Road","Avadi",21,80,51,"Faulty"
299,Pipeline,"T Nagar Pipeline","T Nagar",4,34,304,"Maintenance"
300,Traffic Light,"Ambattur Traffic Light","Ambattur",10,38,298,"Faulty"
301,Street Light,"Kolathur Street Light","Kolathur",59,26,512,"Under Repair"
302,Road,"Medavakkam Road","Medavakkam",94,77,273,"Severely Damaged"
303,Street Light,"Thiruvanmiyur Street Light","Thiruvanmiyur",21,36,340,"Under Repair"
304,Bridge,"Nungambakkam Bridge","Nungambakkam",0,36,281,"Severely Damaged"
305,Traffic Light,"Tondiarpet Traffic Light","Tondiarpet",0,79,22,"Maintenance"
306,Bridge,"Thiruvanmiyur Bridge","Thiruvanmiyur",76,62,323,"Maintenance"
307,Road,"Besant Nagar Road","Besant Nagar",11,72,71,"Faulty"
308,Bridge,"Porur Bridge","Porur",64,66,260,"Severely Damaged"
309,Drainage,"Kodambakkam Drainage","Kodambakkam",38,85,64,"Operational"
310,Street Light,"Mylapore Street Light","Mylapore",52,31,456,"Operational"
311,Bridge,"Chromepet Bridge","Chromepet",15,26,400,"Maintenance"
312,Street Light,"Adyar Street Light","Adyar",2,52,174,"Under Repair"
313,Pipeline,"Guindy Pipeline","Guindy",20,85,27,"Faulty"
314,Bridge,"Perambur Bridge","Perambur",80,11,596,"Maintenance"
315,Drainage,"Besant Nagar Drainage","Besant Nagar",85,15,592,"Operational"
316,Road,"Perambur Road","Perambur",3,68,74,"Maintenance"
317,Road,"Chromepet Road","Chromepet",68,20,561,"Under Repair"
318,Bridge,"Royapettah Bridge","Royapettah",49,95,36,"Operational"
319,Drainage,"Kolathur Drainage","Kolathur",73,62,315,"Operational"
320,Bridge,"Pallavaram Bridge","Pallavaram",64,22,546,"Maintenance"
321,Pipeline,"Alwarpet Pipeline","Alwarpet",78,36,495,"Operational"
322,Traffic Light,"Alwarpet Traffic Light","Alwarpet",13,80,34,"Under Repair"
323,Street Light,"Velachery Street Light","Velachery",63,95,66,"Under Repair"
324,Drainage,"Kolathur Drainage","Kolathur",15,95,4,"Maintenance"
325,Pipeline,"Mogappair Pipeline","Mogappair",43,30,443,"Operational"
326,Road,"Mylapore Road","Mylapore",45,39,398,"Maintenance"
327,Bridge,"Besant Nagar Bridge","Besant Nagar",97,45,491,"Maintenance"
328,Traffic Light,"Pallavaram Traffic Light","Pallavaram",54,93,55,"Operational"
329,Street Light,"Perambur Street Light","Perambur",49,69,192,"Operational"
330,Road,"Chromepet Road","Chromepet",63,87,121,"Maintenance"
331,Drainage,"Mylapore Drainage","Mylapore",63,20,554,"Under Repair"
332,Road,"Ambattur Road","Ambattur",67,78,187,"Operational"
333,Road,"Chromepet Road","Chromepet",23,27,416,"Maintenance"
334,Drainage,"Besant Nagar Drainage","Besant Nagar",54,58,287,"Operational"
335,Drainage,"Kilpauk Drainage","Kilpauk",85,99,103,"Faulty"
336,Pipeline,"Perungudi Pipeline","Perungudi",11,38,300,"Severely Damaged"
337,Drainage,"Saidapet Drainage","Saidapet",61,30,485,"Under Repair"
338,Pipeline,"Alwarpet Pipeline","Alwarpet",66,71,230,"Maintenance"
339,Bridge,"Kilpauk Bridge","Kilpauk",58,60,286,"Faulty"
340,Street Light,"Ambattur Street Light","Ambattur",92,63,368,"Operational"
341,Pipeline,"Tambaram Pipeline","Tambaram",56,66,236,"Operational"
342,Pipeline,"Besant Nagar Pipeline","Besant Nagar",68,87,137,"Under Repair"
343,Street Light,"Adyar Street Light","Adyar",22,15,474,"Maintenance"
344,Pipeline,"Avadi Pipeline","Avadi",97,58,424,"Severely Damaged"
345,Bridge,"Avadi Bridge","Avadi",8,35,310,"Operational"
346,Bridge,"Adyar Bridge","Adyar",38,33,420,"Faulty"
347,Bridge,"Saidapet Bridge","Saidapet",76,54,387,"Under Repair"
348,Pipeline,"Pallavaram Pipeline","Pallavaram",62,35,459,"Severely Damaged"
349,Pipeline,"Mogappair Pipeline","Mogappair",40,46,328,"Maintenance"
350,Street Light,"Triplicane Street Light","Triplicane",18,18,452,"Severely Damaged"
351,Bridge,"Washermanpet Bridge","Washermanpet",80,18,584,"Maintenance"
352,Bridge,"Ambattur Bridge","Ambattur",31,86,42,"Maintenance"
353,Pipeline,"T Nagar Pipeline","T Nagar",67,86,140,"Severely Damaged"
354,Street Light,"Tambaram Street Light","Tambaram",38,81,85,"Severely Damaged"
355,Pipeline,"Tondiarpet Pipeline","Tondiarpet",92,33,552,"Faulty"
356,Drainage,"Kolathur Drainage","Kolathur",13,43,269,"Faulty"
357,Bridge,"Porur Bridge","Porur",65,34,472,"Maintenance"
358,Pipeline,"Mylapore Pipeline","Mylapore",27,38,348,"Operational"
359,Drainage,"Washermanpet Drainage","Washermanpet",58,85,119,"Severely Damaged"
360,Drainage,"Besant Nagar Drainage","Besant Nagar",29,21,458,"Operational"
361,Bridge,"T Nagar Bridge","T Nagar",62,84,139,"Operational"
362,Pipeline,"Anna Nagar Pipeline","Anna Nagar",8,20,421,"Operational"
363,Drainage,"Mogappair Drainage","Mogappair",77,30,535,"Under Repair"
364,Bridge,"Washermanpet Bridge","Washermanpet",20,12,492,"Operational"
365,Pipeline,"Saidapet Pipeline","Saidapet",58,71,207,"Under Repair"
366,Street Light,"Royapettah Street Light","Royapettah",87,64,345,"Operational"
367,Street Light,"Kolathur Street Light","Kolathur",44,16,534,"Faulty"
368,Street Light,"Perambur Street Light","Perambur",13,73,70,"Severely Damaged"
369,Drainage,"Sholinganallur Drainage","Sholinganallur",10,46,239,"Severely Damaged"
370,Traffic Light,"Egmore Traffic Light","Egmore",51,51,325,"Under Repair"
371,Street Light,"Mylapore Street Light","Mylapore",55,12,568,"Faulty"
372,Street Light,"Mylapore Street Light","Mylapore",88,39,503,"Operational"
373,Road,"Mylapore Road","Mylapore",69,18,569,"Severely Damaged"
374,Road,"Mylapore Road","Mylapore",93,12,599,"Faulty"
375,Road,"Chromepet Road","Chromepet",89,38,517,"Severely Damaged"
376,Traffic Light,"Pallavaram Traffic Light","Pallavaram",77,73,251,"Maintenance"
377,Pipeline,"Washermanpet Pipeline","Washermanpet",96,42,510,"Under Repair"
378,Bridge,"Tambaram Bridge","Tambaram",66,94,80,"Under Repair"
379,Traffic Light,"Mogappair Traffic Light","Mogappair",82,73,266,"Maintenance"
380,Traffic Light,"Ambattur Traffic Light","Ambattur",83,59,370,"Faulty"
381,Drainage,"Porur Drainage","Porur",48,52,312,"Severely Damaged"
382,Street Light,"Sholinganallur Street Light","Sholinganallur",46,95,32,"Under Repair"
383,Bridge,"Chromepet Bridge","Chromepet",67,19,564,"Severely Damaged"
384,Pipeline,"Triplicane Pipeline","Triplicane",9,65,114,"Severely Damaged"
385,Drainage,"Porur Drainage","Porur",73,60,329,"Maintenance"
386,Road,"Washermanpet Road","Washermanpet",43,81,104,"Under Repair"
387,Bridge,"Sholinganallur Bridge","Sholinganallur",6,77,35,"Maintenance"
388,Road,"Mylapore Road","Mylapore",41,62,214,"Faulty"
389,Drainage,"Alwarpet Drainage","Alwarpet",67,30,504,"Maintenance"
390,Traffic Light,"Kodambakkam Traffic Light","Kodambakkam",27,36,361,"Under Repair"
391,Road,"Medavakkam Road","Medavakkam",78,55,385,"Faulty"
392,Traffic Light,"Porur Traffic Light","Porur",19,26,411,"Faulty"
393,Pipeline,"Ambattur Pipeline","Ambattur",64,35,465,"Operational"
394,Street Light,"Kolathur Street Light","Kolathur",22,56,200,"Maintenance"
395,Pipeline,"Nungambakkam Pipeline","Nungambakkam",82,85,184,"Faulty"
396,Pipeline,"Porur Pipeline","Porur",6,47,215,"Maintenance"
397,Traffic Light,"Tondiarpet Traffic Light","Tondiarpet",45,62,227,"Operational"
398,Bridge,"Adyar Bridge","Adyar",66,35,468,"Severely Damaged"
399,Pipeline,"Mylapore Pipeline","Mylapore",34,59,216,"Maintenance"
400,Pipeline,"Avadi Pipeline","Avadi",87,87,185,"Severely Damaged"
401,Street Light,"Guindy Street Light","Guindy",81,81,205,"Operational"
402,Traffic Light,"Besant Nagar Traffic Light","Besant Nagar",73,30,525,"Operational"
403,Drainage,"Ambattur Drainage","Ambattur",78,100,75,"Maintenance"
404,Pipeline,"Triplicane Pipeline","Triplicane",67,33,482,"Severely Damaged"
405,Pipeline,"Kilpauk Pipeline","Kilpauk",31,100,10,"Severely Damaged"
406,Road,"Pallavaram Road","Pallavaram",21,37,335,"Maintenance"
407,Bridge,"Tondiarpet Bridge","Tondiarpet",85,46,454,"Severely Damaged"
408,Bridge,"Washermanpet Bridge","Washermanpet",2,14,433,"Under Repair"
409,Street Light,"Guindy Street Light","Guindy",53,58,285,"Maintenance"
410,Street Light,"Kolathur Street Light","Kolathur",10,78,38,"Operational"
411,Street Light,"Ambattur Street Light","Ambattur",9,76,47,"Under Repair"
412,Road,"Velachery Road","Velachery",62,66,255,"Operational"
413,Street Light,"T Nagar Street Light","T Nagar",95,30,566,"Faulty"
414,Traffic Light,"Sholinganallur Traffic Light","Sholinganallur",22,70,117,"Severely Damaged"
415,Road,"Sholinganallur Road","Sholinganallur",18,25,413,"Maintenance"
416,Road,"Porur Road","Porur",29,84,48,"Maintenance"
417,Street Light,"Sholinganallur Street Light","Sholinganallur",33,58,223,"Maintenance"
418,Bridge,"Porur Bridge","Porur",75,70,264,"Under Repair"
419,Drainage,"Porur Drainage","Porur",27,64,171,"Severely Damaged"
420,Pipeline,"Thiruvanmiyur Pipeline","Thiruvanmiyur",8,71,67,"Faulty"
421,Traffic Light,"Adyar Traffic Light","Adyar",85,92,150,"Faulty"
422,Road,"Royapettah Road","Royapettah",82,49,431,"Faulty"
423,Traffic Light,"Medavakkam Traffic Light","Medavakkam",35,74,131,"Maintenance"
424,Pipeline,"Alwarpet Pipeline","Alwarpet",85,40,490,"Maintenance"
425,Traffic Light,"Alwarpet Traffic Light","Alwarpet",49,18,536,"Operational"
426,Drainage,"Kolathur Drainage","Kolathur",96,73,307,"Under Repair"
427,Drainage,"Tondiarpet Drainage","Tondiarpet",21,20,447,"Maintenance"
428,Road,"Mylapore Road","Mylapore",3,61,124,"Faulty"
429,Bridge,"Washermanpet Bridge","Washermanpet",38,36,399,"Severely Damaged"
430,Traffic Light,"Besant Nagar Traffic Light","Besant Nagar",100,71,334,"Faulty"
431,Traffic Light,"Avadi Traffic Light","Avadi",81,77,233,"Operational"
432,Road,"Anna Nagar Road","Anna Nagar",72,16,578,"Under Repair"
433,Pipeline,"Chromepet Pipeline","Chromepet",71,13,586,"Faulty"
434,Street Light,"Nungambakkam Street Light","Nungambakkam",64,41,432,"Maintenance"
435,Bridge,"Chromepet Bridge","Chromepet",74,62,317,"Under Repair"
436,Pipeline,"Chromepet Pipeline","Chromepet",62,47,393,"Operational"
437,Street Light,"Porur Street Light","Porur",67,65,279,"Maintenance"
438,Traffic Light,"Medavakkam Traffic Light","Medavakkam",19,81,41,"Operational"
439,Bridge,"Guindy Bridge","Guindy",100,94,175,"Operational"
440,Street Light,"Tambaram Street Light","Tambaram",44,59,247,"Severely Damaged"
441,Bridge,"Ambattur Bridge","Ambattur",73,74,228,"Operational"
442,Street Light,"T Nagar Street Light","T Nagar",57,91,76,"Faulty"
443,Road,"Tondiarpet Road","Tondiarpet",97,47,477,"Operational"
444,Bridge,"Washermanpet Bridge","Washermanpet",42,38,396,"Maintenance"
445,Pipeline,"Royapettah Pipeline","Royapettah",94,69,330,"Operational"
446,Street Light,"Thiruvanmiyur Street Light","Thiruvanmiyur",85,68,311,"Severely Damaged"
447,Traffic Light,"Avadi Traffic Light","Avadi",54,48,357,"Operational"
448,Traffic Light,"Kolathur Traffic Light","Kolathur",16,57,182,"Severely Damaged"
449,Drainage,"T Nagar Drainage","T Nagar",48,12,558,"Under Repair"
450,Street Light,"Anna Nagar Street Light","Anna Nagar",15,53,201,"Operational"
451,Street Light,"Besant Nagar Street Light","Besant Nagar",36,52,275,"Operational"
452,Road,"Avadi Road","Avadi",45,54,290,"Under Repair"
453,Traffic Light,"Anna Nagar Traffic Light","Anna Nagar",58,32,467,"Under Repair"
454,Traffic Light,"Royapettah Traffic Light","Royapettah",92,81,240,"Faulty"
455,Street Light,"Thiruvanmiyur Street Light","Thiruvanmiyur",41,39,388,"Operational"
